===2018-04-05 09:00:24.165 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/findOpt],methods=[POST]}" onto public com.alibaba.fastjson.JSONArray com.army.controller.WebJumpController.findOpt(javax.servlet.http.HttpServletRequest,java.lang.String) throws java.lang.Exception
===2018-04-05 09:00:24.166 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/findAllUser],methods=[POST]}" onto public com.alibaba.fastjson.JSONArray com.army.controller.WebJumpController.findAllUser(com.army.vo.UserInfo) throws java.lang.Exception
===2018-04-05 09:00:24.166 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/findUserById],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.findUserById(com.army.vo.UserInfo) throws java.lang.Exception
===2018-04-05 09:00:24.166 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/updateUser],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.updateUser(javax.servlet.http.HttpServletRequest,com.army.vo.UserInfo) throws java.lang.Exception
===2018-04-05 09:00:24.167 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/findAllCount],methods=[POST]}" onto public com.alibaba.fastjson.JSONArray com.army.controller.WebJumpController.findAllCount(javax.servlet.http.HttpServletRequest) throws java.lang.Exception
===2018-04-05 09:00:24.167 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/insertNew],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.insertNew(javax.servlet.http.HttpServletRequest,com.army.vo.NewsInfo) throws java.lang.Exception
===2018-04-05 09:00:24.167 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/findAllNews],methods=[POST]}" onto public com.alibaba.fastjson.JSONArray com.army.controller.WebJumpController.findAllNews(com.army.vo.NewsInfo) throws java.lang.Exception
===2018-04-05 09:00:24.167 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/findNewById],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.findNewById(com.army.vo.NewsInfo) throws java.lang.Exception
===2018-04-05 09:00:24.168 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/findNewById],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.findwebNewById(com.army.vo.NewsInfo) throws java.lang.Exception
===2018-04-05 09:00:24.168 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/change],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.changerValid(javax.servlet.http.HttpServletRequest,com.army.vo.NewsInfo) throws java.lang.Exception
===2018-04-05 09:00:24.168 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/insertNotice],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.insertNotice(javax.servlet.http.HttpServletRequest,com.army.vo.NoticeInfo) throws java.lang.Exception
